"Code","SegmentID","UManhole.ManholeID","DManhole.ManholeID","Distance","ClockFrom","Severity","Reversed","WinCanDescription"
"START US","20SW3-2","20SW2","20SW3",10,,,TRUE,"Start Inspection Upstream"
"LAT","20SW3-2","20SW2","20SW3",164,9,,TRUE,"Lateral connection"
"TSA","20SW3-2","20SW2","20SW3",164,9,,TRUE,"Tap Saddle Avtive"
"DSI","20SW3-2","20SW2","20SW3",164,9,,TRUE,"Defective Saddle Installation"
"Grease","20SW3-2","20SW2","20SW3",164,,"Severe",TRUE,"Grease in the Pipe"
"AMH","20SW3-2","20SW2","20SW3",425.6,12,,TRUE,"Access Man Hole"
"STOP","20SW3-2","20SW2","20SW3",425.6,,,TRUE,"Inspection Stopped"
"START DS","20SW3-4","20SW3","20SW4",10,,,FALSE,"Start Inspection Downstream"
"LAT","20SW3-4","20SW3","20SW4",39.3,10,,FALSE,"Lateral connection"
"TFNA","20SW3-4","20SW3","20SW4",39.3,10,,FALSE,"Tap Factory Not Avtive"
"LAT","20SW3-4","20SW3","20SW4",43,2,,FALSE,"Lateral connection"
"TFNA","20SW3-4","20SW3","20SW4",43,2,,FALSE,"Tap Factory Not Avtive"
"LAT","20SW3-4","20SW3","20SW4",235.4,2,,FALSE,"Lateral connection"
"TFA","20SW3-4","20SW3","20SW4",235.4,2,,FALSE,"Factory Tap Active"
"AMH","20SW3-4","20SW3","20SW4",389.4,12,,FALSE,"Access Man Hole"
"STOP","20SW3-4","20SW3","20SW4",389.4,,,FALSE,"Inspection Stopped"
"START DS","20SW4-5","20SW4","20SW5",0,,,FALSE,"Start Inspection Downstream"
"LAT","20SW4-5","20SW4","20SW5",43.8,12,,FALSE,"Lateral connection"
"TFA","20SW4-5","20SW4","20SW5",43.8,12,,FALSE,"Factory Tap Active"
"LAT","20SW4-5","20SW4","20SW5",79.1,10,,FALSE,"Lateral connection"
"TFA","20SW4-5","20SW4","20SW5",79.1,10,,FALSE,"Factory Tap Active"
"LAT","20SW4-5","20SW4","20SW5",211.1,10,,FALSE,"Lateral connection"
"TFA","20SW4-5","20SW4","20SW5",211.1,10,,FALSE,"Factory Tap Active"
"LAT","20SW4-5","20SW4","20SW5",216.6,1,,FALSE,"Lateral connection"
"TFA","20SW4-5","20SW4","20SW5",216.6,1,,FALSE,"Factory Tap Active"
"LAT","20SW4-5","20SW4","20SW5",222.9,10,,FALSE,"Lateral connection"
"TSA","20SW4-5","20SW4","20SW5",222.9,10,,FALSE,"Tap Saddle Avtive"
"LAT","20SW4-5","20SW4","20SW5",295.5,1,,FALSE,"Lateral connection"
"TFA","20SW4-5","20SW4","20SW5",295.5,1,,FALSE,"Factory Tap Active"
"LAT","20SW4-5","20SW4","20SW5",304.4,1,,FALSE,"Lateral connection"
"TFNA","20SW4-5","20SW4","20SW5",304.4,1,,FALSE,"Tap Factory Not Avtive"
"LAT","20SW4-5","20SW4","20SW5",351.4,10,,FALSE,"Lateral connection"
"TFNA","20SW4-5","20SW4","20SW5",351.4,10,,FALSE,"Tap Factory Not Avtive"
"LAT","20SW4-5","20SW4","20SW5",381.4,10,,FALSE,"Lateral connection"
"TSA","20SW4-5","20SW4","20SW5",381.4,10,,FALSE,"Tap Saddle Avtive"
"AMH","20SW4-5","20SW4","20SW5",424,12,,FALSE,"Access Man Hole"
"STOP","20SW4-5","20SW4","20SW5",424,,,FALSE,"Inspection Stopped"
"START US","20SW7-8","20SW8","20SW7",10,,,TRUE,"Start Inspection Upstream"
"LAT","20SW7-8","20SW8","20SW7",64,10,,TRUE,"Lateral connection"
"TFNA","20SW7-8","20SW8","20SW7",64,10,,TRUE,"Tap Factory Not Avtive"
"LAT","20SW7-8","20SW8","20SW7",117.6,9,,TRUE,"Lateral connection"
"TSA","20SW7-8","20SW8","20SW7",117.6,9,,TRUE,"Tap Saddle Avtive"
"DSI","20SW7-8","20SW8","20SW7",117.6,9,,TRUE,"Defective Saddle Installation"
"Root-in-Lateral","20SW7-8","20SW8","20SW7",117.6,9,"Light",TRUE,"Root problem in lateral"
"LAT","20SW7-8","20SW8","20SW7",199.1,10,,TRUE,"Lateral connection"
"TFA","20SW7-8","20SW8","20SW7",199.1,10,,TRUE,"Factory Tap Active"
"LAT","20SW7-8","20SW8","20SW7",213.1,1,,TRUE,"Lateral connection"
"TFA","20SW7-8","20SW8","20SW7",213.1,1,,TRUE,"Factory Tap Active"
"LAT","20SW7-8","20SW8","20SW7",335.9,2,,TRUE,"Lateral connection"
"TFA","20SW7-8","20SW8","20SW7",335.9,2,,TRUE,"Factory Tap Active"
"AMH","20SW7-8","20SW8","20SW7",344.6,12,,TRUE,"Access Man Hole"
"STOP","20SW7-8","20SW8","20SW7",344.6,,,TRUE,"Inspection Stopped"
"START DS","20SW7-6","20SW7","20SW6",10,,,FALSE,"Start Inspection Downstream"
"LAT","20SW7-6","20SW7","20SW6",96.5,3,,FALSE,"Lateral connection"
"TSA","20SW7-6","20SW7","20SW6",96.5,3,,FALSE,"Tap Saddle Avtive"
"AMH","20SW7-6","20SW7","20SW6",244.2,12,,FALSE,"Access Man Hole"
"STOP","20SW7-6","20SW7","20SW6",244.2,,,FALSE,"Inspection Stopped"
"START DS","20SW10-6","20SW10","20SW6",10,,,FALSE,"Start Inspection Downstream"
"LAT","20SW10-6","20SW10","20SW6",11.3,10,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",11.3,10,,FALSE,"Factory Tap Active"
"LAT","20SW10-6","20SW10","20SW6",25.9,10,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",25.9,10,,FALSE,"Factory Tap Active"
"LAT","20SW10-6","20SW10","20SW6",87,2,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",87,2,,FALSE,"Factory Tap Active"
"LAT","20SW10-6","20SW10","20SW6",241.4,10,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",241.4,10,,FALSE,"Factory Tap Active"
"LAT","20SW10-6","20SW10","20SW6",260.4,3,,FALSE,"Lateral connection"
"TSA","20SW10-6","20SW10","20SW6",260.4,3,,FALSE,"Tap Saddle Avtive"
"LAT","20SW10-6","20SW10","20SW6",283.4,10,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",283.4,10,,FALSE,"Factory Tap Active"
"LAT","20SW10-6","20SW10","20SW6",314,3,,FALSE,"Lateral connection"
"TFA","20SW10-6","20SW10","20SW6",314,3,,FALSE,"Factory Tap Active"
"Joint Offset","20SW10-6","20SW10","20SW6",341.4,7,,FALSE,"Joint Offset in the Pipe"
"LAT","20SW10-6","20SW10","20SW6",344.8,9,,FALSE,"Lateral connection"
"TFNA","20SW10-6","20SW10","20SW6",344.8,9,,FALSE,"Tap Factory Not Avtive"
"Joint Offset","20SW10-6","20SW10","20SW6",345.7,12,"Large",FALSE,"Joint Offset in the Pipe"
"AMH","20SW10-6","20SW10","20SW6",363.2,12,,FALSE,"Access Man Hole"
"STOP","20SW10-6","20SW10","20SW6",363.2,,,FALSE,"Inspection Stopped"
"START DS","20SW6-5","20SW6","20SW5",0,,,FALSE,"Start Inspection Downstream"
"LAT","20SW6-5","20SW6","20SW5",38.7,10,,FALSE,"Lateral connection"
"TFA","20SW6-5","20SW6","20SW5",38.7,10,,FALSE,"Factory Tap Active"
